0,CombatZoneResize,241,226,406,391,TLResume
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,TLPause,,,,,
0,SET,Loop,9,,,
0,JMPZ,37,$Loop,,,
0,SUB,Loop,$Loop,1,,
0,RND,Direction,4,,,
0,ADD,Jump,$Direction,1,,
0,JMPREL,$Jump,,,,
0,JMPREL,4,,,,
0,JMPREL,5,,,,
0,JMPREL,6,,,,
0,JMPREL,7,,,,
0,SansBody,HandRight,,,,
0,JMPREL,7,,,,
0,SansBody,HandDown,,,,
0,JMPREL,5,,,,
0,SansBody,HandLeft,,,,
0,JMPREL,3,,,,
0,SansBody,HandUp,,,,
0,JMPREL,1,,,,
0.26666,SansSlam,$Direction,,,,
0.2,BoneStab,$Direction,25,0.4,0.33333,
0,JMPZ,32,0,,,
0,SUB,Direction,$Direction,4,,
0,JMPZ,34,0,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
0,ADD,Direction,$Direction,2,,
0,JMPG,26,$Direction,3,,
0,BoneStab,$Direction,95,0.4,0.33333,
,,,,,,
0.71,JMPABS,6,,,,
0,EndAttack,,,,,
